"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"321","Ifih1",6.07437094952882e-299,1.39425644495402,0.432,0.08,1.34097813081798e-294
"322","Jak1",7.53876540456598e-299,0.96944248010359,0.871,0.841,1.66425785071199e-294
"323","Tor1aip1",1.00883582428981e-298,0.735764893948854,0.682,0.737,2.22710596570219e-294
"324","Tpm4",3.1239800454592e-296,0.907285509025662,0.891,0.879,6.89649834835574e-292
"325","Trim25",3.29363213492436e-296,1.17879889879405,0.508,0.187,7.27102230105902e-292
"326","Tpm3-rs7",1.68313290532233e-295,0.734243634508595,0.828,0.828,3.71568420178957e-291
"327","Rnase4",3.05602190978104e-295,-0.568253580797282,0.472,0.893,6.74647396803262e-291
"328","Npdc1",7.73959173004044e-295,-0.487739784213842,0.379,0.809,1.70859227032373e-290
"329","Cacna1g",2.08496558525438e-294,-0.428197224266453,0.105,0.471,4.60277002600757e-290
"330","Creg1",2.80552530070119e-294,-0.422912837655413,0.396,0.815,6.19347765382794e-290
"331","Sh3glb1",2.89036229113827e-294,0.817507012050016,0.918,0.928,6.38076379391685e-290
"332","Prkar1a",5.93333872565135e-294,0.792340949606545,0.871,0.871,1.30984385707479e-289
"333","Nkd2",2.26355424449106e-293,-0.872297173370897,0.111,0.5,4.99702235013846e-289
"334","H2-K1",2.92753402976331e-293,1.03827674770944,0.763,0.71,6.46282412410547e-289
"335","Gbp6",6.01013542633923e-293,1.34175443915964,0.449,0.096,1.32679749671865e-288
"336","Sbno2",1.52031229670776e-292,1.04203140303705,0.539,0.286,3.35624142621205e-288
"337","1810037I17Rik",3.48819790573411e-292,0.820393558212287,0.851,0.86,7.70054569669863e-288
"338","Chpf",4.1836530027203e-292,-0.488947865219734,0.371,0.799,9.23583236880534e-288
"339","Rpn2",1.09664166445205e-291,-0.625656761979257,0.454,0.878,2.42094613844436e-287
"340","Pdia4",2.24526407448707e-291,-0.309999152236412,0.273,0.656,4.95664497083766e-287
"341","Srm",2.34300140916133e-291,-0.452515365126149,0.168,0.564,5.17240991086454e-287
"342","Tmem160",2.7158712572689e-291,-0.43323648341146,0.269,0.686,5.99555738754682e-287
"343","Aga",9.01407638726581e-291,-0.416008457891654,0.219,0.619,1.9899475032528e-286
"344","B3gnt9",9.28312442841558e-291,-0.36756727914789,0.085,0.425,2.04934254881702e-286
"345","Yif1a",3.18164675136207e-290,-0.355219162814711,0.159,0.528,7.02380336830691e-286
"346","Nsd3",1.4622598712075e-289,0.774866450644138,0.695,0.712,3.22808489167768e-285
"347","Nampt",6.4777874293637e-289,1.0976869747419,0.559,0.36,1.43003635290633e-284
"348","Nfatc1",1.20024015243116e-288,-0.612883219705885,0.135,0.528,2.64965016050704e-284
"349","Gpx4",4.59716788297804e-288,0.843862527601629,0.939,0.957,1.01487078184623e-283
"350","Fosl2",1.61335971940115e-287,0.941382290013555,0.735,0.617,3.56165291654998e-283
"351","Arhgap5",3.08537068575669e-287,-0.507229167611512,0.311,0.738,6.81126432587648e-283
"352","Stt3a",5.83356427598796e-286,-0.338108674392717,0.283,0.673,1.2878176495671e-281
"353","Tsc22d1",6.82517656390922e-286,1.33396776594681,0.772,0.702,1.5067259782486e-281
"354","Wls",7.65053751343096e-286,-0.690919621565221,0.407,0.837,1.68893266146502e-281
"355","Irf9",7.72515263495851e-286,0.959780047969758,0.52,0.237,1.70540469569344e-281
